backer_number,heat_mild,heat_medium,heat_hot,heat_hotter,heat_superhot,flavor_sweet,flavor_smoke,flavor_fruit,flavor_vinegar,flavor_salt,flavor_garlic,pepper_Jalapeno,pepper_Serrano,pepper_Scotch Bonnet,pepper_Habanero,pepper_Ghost Pepper,pepper_Moruga Scorpion,pepper_Carolina Reaper,dietary_vegan,dietary_noGluten,dietary_noAlcohol
69,0,0,1,1,0,3.9,0.15,3.45,2.85,1.45,3.1,1,1,0,0,0,0,0,1,0,0
218,0,0,1,0,0,3.4,3.4,1.6,2.95,1.95,1.95,0,0,0,0,0,0,0,0,0,0
234,0,0,0,1,1,1.5,2.5,0.85,2.5,2.95,3.5,1,1,1,1,1,1,1,0,0,0
361,0,1,0,0,0,3.65,4.5,4.4,0.55,3.65,4.35,0,0,0,0,0,0,0,0,0,0
39,0,1,1,0,0,1.45,1.85,1.2,3.7,4,3.9,0,0,0,1,0,0,0,1,0,0
306,1,1,1,0,0,3.95,4.4,2.05,3.75,3.4,4.2,1,0,0,0,0,0,0,1,0,0
72,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
59,0,0,1,1,1,2.95,3.8,1.45,2.95,2.45,3.85,0,0,0,0,0,0,0,0,0,0
49,0,0,1,1,0,3.35,2.5,3.35,1.4,2.5,2.5,1,1,0,1,0,0,0,0,0,0
358,0,1,1,1,0,4.8,2.65,0,3.15,2.5,4.1,0,0,0,0,0,0,0,0,0,0
337,1,1,0,0,0,3.25,2.5,3.3,3.2,3.9,3.95,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
